 speed bin,sector bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.038133953,0.050654316,0.040390414,0.046974914,0.066509472,0.04231129,0.036029699,0.034931861,0.05777812,0.047004173,0.037096405,0.041474654,0.045874361,0.033100923,0.036859982,0.056918759,0.048822835,0.036797081,0.048453462,0.049546406,0.053426573,0.049768195,0.04794029,0.035111265,0.040803213,0.040193798,0.033371212,0.03379308,0.030127824,0.026773256,0.022058403,0.026236922,0.03,0.035421664,0.029342105,0.039011188,0.039756189,0.039359431,0.036223681,0.040078324,0.039470222,0.032510823,0.03184686,0.037714796,0.035458716,0.04548701,0.04628351,0.035240831,1.928472464
,0.04084398,0.039553007,0.046817965,0.047138875,0.058460037,0.034036123,0.030715123,0.048473348,0.034389906,0.040705456,0.042210518,0.056393033,0.035417144,0.034932037,0.046106428,0.045693315,0.047919994,0.05126431,0.0571084,0.054121113,0.051188811,0.045914093,0.042294627,0.047017058,0.040120482,0.048837209,0.036742424,0.030605054,0.032690565,0.030406977,0.027915881,0.031004795,0.023333333,0.035203589,0.042763158,0.043367768,0.033592439,0.032170819,0.035355822,0.039786693,0.038812385,0.036926407,0.032962788,0.024280295,0.025504587,0.031827515,0.042521785,0.029275298,1.904722771
,0.034197961,0.047198941,0.064116807,0.04902443,0.067485161,0.053680651,0.037123877,0.040193203,0.042160332,0.053617825,0.054728647,0.044052175,0.040683917,0.042890344,0.053591647,0.053248903,0.045280922,0.055981885,0.03830874,0.054663875,0.054265734,0.044908675,0.040954978,0.043510261,0.040321285,0.042054264,0.040265152,0.037182456,0.036565928,0.032267442,0.0287445,0.028743461,0.040757576,0.038443565,0.037039474,0.040430377,0.033695168,0.036014235,0.025696174,0.034329042,0.036224893,0.036493506,0.047255247,0.029189913,0.028394495,0.033389876,0.04466454,0.038057888,2.022090348
,0.063427539,0.042934863,0.062450405,0.063043122,0.066021628,0.046988559,0.02797968,0.045972055,0.051238652,0.057475789,0.04465308,0.042411935,0.050377834,0.075920839,0.048433765,0.051593869,0.059656921,0.048559567,0.041643019,0.044971699,0.034615385,0.044461822,0.047557533,0.044722487,0.036305221,0.042403101,0.035833333,0.032215846,0.032846829,0.034302326,0.03603063,0.033538579,0.036606061,0.037353189,0.043026316,0.038153074,0.039002842,0.041032028,0.036261414,0.036120485,0.03990878,0.041948052,0.048671617,0.026422674,0.035779817,0.039460762,0.035712585,0.034743703,2.100791309
,0.050200026,0.06881341,0.043247104,0.03762912,0.05618343,0.049722962,0.059007425,0.069346214,0.059855362,0.054483899,0.056560568,0.045536202,0.042515838,0.050355659,0.064788024,0.046772685,0.046114313,0.050257894,0.043132804,0.038225944,0.038811189,0.041836564,0.049279939,0.033942333,0.045702811,0.039186047,0.039318182,0.027786167,0.040035003,0.033401163,0.03920224,0.04146687,0.039030303,0.044269292,0.043782895,0.036799894,0.038181009,0.049181495,0.052033809,0.046577511,0.039557934,0.034242424,0.036868535,0.0305289,0.041238532,0.03955004,0.039950479,0.033694211,2.14820465
,0.043489483,0.039773563,0.048801777,0.047384817,0.040653712,0.047060517,0.04282923,0.031050543,0.037851977,0.050389733,0.043202809,0.048972897,0.043508129,0.050355659,0.054912568,0.043678492,0.04076672,0.036608378,0.037599319,0.036675196,0.03020979,0.046696084,0.03951964,0.035674084,0.035341365,0.038139535,0.044583333,0.035739454,0.037941057,0.036802326,0.033916224,0.036698997,0.035666667,0.043210069,0.035657895,0.033829499,0.041536828,0.043558719,0.057731492,0.045785943,0.03938251,0.042554113,0.035108803,0.040615934,0.044174312,0.030354433,0.033474596,0.042532037,1.96200126
,0.035746548,0.025584473,0.044199333,0.037875061,0.033173429,0.041303879,0.032434545,0.032861825,0.038775196,0.037556098,0.0302267,0.026556276,0.032821922,0.050003521,0.047301547,0.057134633,0.031113272,0.036168071,0.03930193,0.036597658,0.032447552,0.038596883,0.051672169,0.044029786,0.037108434,0.041395349,0.043409091,0.038558341,0.041847673,0.035726744,0.036887822,0.036317568,0.045060606,0.039409327,0.040131579,0.036304829,0.046912988,0.042740214,0.052184741,0.043369579,0.042452416,0.042424242,0.040259239,0.045837983,0.039816514,0.050575841,0.035617352,0.031760937,1.899591717
,0.036133695,0.029848552,0.03864466,0.043449746,0.034636962,0.043966324,0.04720594,0.035708125,0.028235113,0.047397843,0.036867415,0.033742092,0.030837341,0.047679414,0.033714933,0.04231129,0.025279533,0.031198893,0.04199773,0.0329534,0.029300699,0.045858236,0.050906655,0.037665599,0.04253012,0.043023256,0.044810606,0.055303869,0.039128668,0.034244186,0.044202526,0.038469922,0.034939394,0.034113212,0.036447368,0.036172811,0.037701606,0.039039146,0.047128519,0.044452777,0.041092887,0.037186147,0.041246405,0.034144164,0.041972477,0.032407821,0.04628351,0.033141847,1.864723433
,0.031294361,0.024849287,0.034121568,0.029676996,0.027644524,0.045477441,0.033685033,0.044764533,0.033774427,0.040626722,0.04518739,0.034445052,0.034195863,0.028593563,0.029940873,0.031445636,0.018681853,0.03610517,0.034477866,0.032798325,0.027482517,0.034295928,0.039471796,0.042124859,0.03751004,0.040503876,0.044621212,0.046679419,0.046410601,0.036046512,0.040830905,0.042856364,0.040484848,0.035359357,0.032565789,0.039143206,0.040372564,0.03911032,0.042487359,0.040203308,0.044776774,0.041125541,0.029958367,0.035974113,0.046238532,0.041424873,0.036045903,0.036345559,1.772236928
,0.025616209,0.028157624,0.021583876,0.02762748,0.029433287,0.054184356,0.045173896,0.051578403,0.044929989,0.035194079,0.036943745,0.038116067,0.036867415,0.03317135,0.033400428,0.039720803,0.028057504,0.024845893,0.029653802,0.023571373,0.027762238,0.034854494,0.033299842,0.041172396,0.042610442,0.039728682,0.041818182,0.042115507,0.038534863,0.042790698,0.041516658,0.029751526,0.038848485,0.026418268,0.032368421,0.034291561,0.034037599,0.03455516,0.02879028,0.044494438,0.041663012,0.038225108,0.035881368,0.028609685,0.038990826,0.041826623,0.035998286,0.038223597,1.717005822
,0.024648342,0.026172622,0.025154737,0.025004099,0.032441662,0.037921854,0.034310277,0.031913058,0.023157409,0.028895363,0.042515838,0.028977583,0.040073277,0.026762448,0.021889546,0.021155645,0.03132162,0.026166813,0.03561294,0.034193999,0.030839161,0.026531866,0.027702024,0.03026236,0.031686747,0.032015504,0.037083333,0.044800161,0.040597556,0.040203488,0.033316189,0.033129904,0.036393939,0.033085143,0.034046053,0.035842767,0.041468342,0.030996441,0.036035016,0.03482898,0.040171915,0.042770563,0.030945534,0.03084133,0.032018349,0.04075529,0.03061759,0.03187141,1.569146087
,0.02490644,0.01889428,0.025075385,0.025987867,0.032604277,0.022306973,0.030480657,0.026824219,0.028773657,0.033304464,0.020685444,0.018355073,0.025570567,0.021057821,0.014341427,0.031949342,0.02840475,0.039816329,0.030150397,0.02186555,0.023566434,0.030888678,0.02932874,0.027361676,0.036345382,0.031124031,0.041893939,0.042753113,0.029690283,0.039302326,0.032973313,0.034955318,0.034666667,0.033053989,0.037894737,0.032839368,0.033181522,0.034163701,0.035619953,0.02941299,0.042583984,0.04004329,0.036739774,0.037848694,0.027752294,0.032229265,0.033141279,0.030103844,1.472813503
,0.027680991,0.025510954,0.014283447,0.020987047,0.015529718,0.015183133,0.020945682,0.025875453,0.022157255,0.019526022,0.019922143,0.032258065,0.022822685,0.012395239,0.025474903,0.020436065,0.029724286,0.028368348,0.033484677,0.022640924,0.027692308,0.030553539,0.038610593,0.04065287,0.040080321,0.029341085,0.032310606,0.039296621,0.030159077,0.031046512,0.040116578,0.034492153,0.035363636,0.033116296,0.030197368,0.036667877,0.027531418,0.027651246,0.030035469,0.021455651,0.03008508,0.042900433,0.036611013,0.026958268,0.026192661,0.03874654,0.036141136,0.02231551,1.371528905
,0.031294361,0.028157624,0.020710998,0.028611248,0.021058623,0.009714327,0.022352481,0.01543902,0.011617172,0.017793874,0.020074803,0.01937046,0.023662316,0.006127192,0.011888288,0.013959847,0.028960344,0.026984526,0.016600454,0.021632938,0.018111888,0.018991231,0.02693651,0.030478829,0.028514056,0.027596899,0.024734848,0.025806235,0.027158796,0.037848837,0.032373278,0.037761552,0.027454545,0.030405932,0.033881579,0.024918314,0.023216793,0.022740214,0.024828315,0.024746907,0.024734672,0.023376623,0.029443324,0.024414193,0.023394495,0.028702794,0.025522594,0.039494034,1.163599187
,0.02245451,0.025069843,0.024202508,0.014428595,0.010000813,0.008203209,0.024618992,0.009660169,0.014694568,0.012361231,0.023204336,0.019526673,0.026715518,0.007887879,0.015599446,0.015614881,0.024168345,0.025915209,0.01915437,0.015740095,0.025454545,0.020834497,0.02339601,0.02545675,0.026425703,0.029806202,0.027765152,0.027081446,0.026908773,0.033226744,0.029373107,0.029506321,0.03,0.031901305,0.031118421,0.026997591,0.029586001,0.022597865,0.022300204,0.029829605,0.024559249,0.034545455,0.025623417,0.028297255,0.023165138,0.026738684,0.025713061,0.030435263,1.127864953
,0.018324945,0.02992207,0.017774956,0.017379898,0.007398976,0.006476218,0.013130129,0.006727618,0.016233267,0.015589324,0.013892069,0.014137312,0.021677735,0.010352842,0.020757328,0.019644528,0.014862143,0.021197635,0.022417707,0.02186555,0.024685315,0.025694018,0.019855509,0.021040783,0.024016064,0.021434109,0.019280303,0.027215678,0.028252649,0.025261628,0.030716041,0.025283348,0.030393939,0.029689398,0.030723684,0.029439916,0.028010821,0.01797153,0.022187005,0.027621547,0.025129375,0.025714286,0.02317696,0.026422674,0.017201835,0.024640657,0.029236703,0.0310981,1.041156122
,0.016002065,0.025437436,0.016029202,0.009263814,0.007398976,0.010649781,0.018132083,0.015266517,0.017618095,0.020155893,0.018090222,0.021947981,0.011220518,0.010352842,0.019247704,0.014751385,0.032016112,0.026355516,0.017664586,0.007055904,0.012727273,0.017092107,0.021673604,0.021993246,0.026787149,0.022248062,0.019242424,0.022987349,0.02581492,0.027180233,0.023201326,0.025610288,0.033515152,0.023053678,0.032105263,0.020495726,0.022566175,0.017437722,0.021885141,0.025288506,0.022629594,0.016103896,0.019228293,0.021022093,0.020412844,0.018659048,0.022427503,0.022757402,0.960802646
,0.020454252,0.011615939,0.011744168,0.005574684,0.007398976,0.003310067,0.011332552,0.007676384,0.010155409,0.007873396,0.020532784,0.017574006,0.011296848,0.010352842,0.016354258,0.017197956,0.020001389,0.022833061,0.010499432,0.010545088,0.009440559,0.019549796,0.017702502,0.019049268,0.022369478,0.023255814,0.019772727,0.021108091,0.023002156,0.027296512,0.023487056,0.026727332,0.025818182,0.018224867,0.022335526,0.024522261,0.016984556,0.025622776,0.022866199,0.019872516,0.017366898,0.015151515,0.025022533,0.022985941,0.017477064,0.016650299,0.023236989,0.014803358,0.836026263
,0.017421603,0.012277606,0.007062371,0.015904247,0.005610212,0.012304814,0.007112153,0.007762636,0.011924912,0.008975671,0.025036257,0.029368117,0.007861995,0.012817804,0.010001258,0.008850831,0.024446142,0.012831803,0.014614075,0.006125456,0.009440559,0.013908284,0.017271901,0.016235172,0.022771084,0.013565891,0.014848485,0.018423437,0.021814545,0.020959302,0.024772844,0.024357018,0.024212121,0.020997539,0.022927632,0.025875441,0.024826216,0.020782918,0.019923025,0.018414365,0.010481537,0.014155844,0.020687583,0.022539612,0.014495413,0.016159271,0.016475406,0.016294741,0.78592715
,0.013227513,0.008307602,0.003650214,0.008280046,0.006504594,0.014823343,0.003595154,0.003967569,0.006847207,0.002676955,0.021754065,0.0186675,0.01526601,0.008028734,0.016417159,0.010433907,0.017779012,0.008554535,0.009719069,0.017600992,0.011188811,0.008881193,0.011387015,0.013291194,0.010401606,0.011395349,0.015037879,0.015503876,0.016282777,0.017325581,0.028258758,0.024901918,0.020333333,0.02436213,0.02375,0.018515463,0.017600931,0.021316726,0.015772395,0.013290005,0.012455048,0.010735931,0.013949097,0.016514171,0.008807339,0.01303455,0.018237227,0.009224481,0.657855966
,0.019099239,0.011615939,0.006348199,0.000901787,0.002683145,0.01316831,0.002657288,0.014145248,0.006693337,0.002676955,0.007861995,0.012340858,0.021448744,0.014437636,0.01138508,0.008203209,0.010209042,0.009875456,0.005675369,0.005272544,0.013496503,0.006367648,0.008085738,0.016191878,0.010361446,0.009651163,0.009848485,0.012080942,0.0154702,0.016831395,0.022915595,0.020569965,0.02030303,0.019876009,0.016611842,0.017327305,0.016231209,0.017651246,0.008037129,0.010415365,0.010437681,0.008311688,0.015322546,0.017942424,0.015,0.011561468,0.011713728,0.016791869,0.582104876
,0.008646277,0.007498897,0.000872877,0.001885555,0.004634523,0.004029647,0.005314576,0.007590133,0.014386829,0.004487836,0.007022365,0.010544404,0.010915197,0.007042749,0.006290099,0.007339714,0.010209042,0.002138634,0.010357548,0.005272544,0.007972028,0.005753226,0.006937467,0.012338731,0.01497992,0.012286822,0.009356061,0.009866103,0.011376067,0.01380814,0.020744043,0.016619442,0.020393939,0.013271441,0.016940789,0.014818971,0.017395473,0.01252669,0.011772696,0.009915427,0.009735988,0.010735931,0.015751749,0.010444097,0.012155963,0.007990358,0.010618542,0.012428193,0.485413742
,0.006581494,0.006543155,0.002697984,0.002787342,0.003658834,0.000791538,0.005314576,0.006555115,0.009462994,0.002676955,0.007022365,0.006170429,0.004961453,0.004014367,0.012517298,0.001583075,0.0094451,0.007925525,0.008087401,0.000852912,0.004755245,0.00698207,0.002679298,0.011559442,0.011807229,0.00748062,0.012424242,0.011074197,0.009125856,0.01505814,0.020115435,0.02059721,0.019848485,0.0189414,0.01875,0.016139147,0.017292744,0.011209964,0.009697381,0.007624047,0.008376458,0.012813853,0.014936263,0.013702299,0.011880734,0.008079636,0.01123756,0.015521432,0.459360299
,0.009356046,0.004999265,0.005475321,0.002787342,0.002764452,0,0.003282532,0.001897533,0.005231574,0.006298717,0.006106404,0.007029602,0.004274483,0.006338475,0.010315763,0.003957689,0.004653101,0.002138634,0.010499432,0.003489184,0.004755245,0.002569402,0.005980575,0.006364187,0.006827309,0.007868217,0.007727273,0.012919897,0.009907179,0.013430233,0.018172467,0.014058413,0.013606061,0.014268357,0.013651316,0.009934321,0.014964216,0.014377224,0.011470832,0.006624172,0.006402947,0.008225108,0.012403966,0.010399464,0.015504587,0.008972413,0.014951669,0.011047282,0.398279882
,0.004323138,0.00419056,0.003650214,0.002787342,0.001788763,0,0.000859711,0.000948767,0.003462071,0.001810881,0.004350813,0.003592908,0,0,0.010567367,0.002446571,0.002361275,0.004340169,0.005675369,0.005272544,0.004755245,0.005082947,0.003301277,0.007403238,0.007710843,0.008333333,0.013636364,0.01010101,0.007625715,0.010232558,0.012457855,0.012859634,0.014060606,0.011713761,0.010690789,0.006567874,0.006985584,0.01252669,0.008452192,0.005624297,0.006929217,0.005324675,0.012275205,0.00740906,0.008669725,0.009418802,0.008999571,0.006628369,0.308204901
,0.006387921,0.004117042,0.000872877,0.000901787,0.000894382,0,0,0.000948767,0,0.000866074,0.002595222,0,0.000839631,0,0.002012832,0.001655033,0.000763942,0.002893446,0.003263337,0.00178336,0.006363636,0.007037927,0.003827568,0.008702052,0.007309237,0.005620155,0.010681818,0.007047216,0.007375691,0.014127907,0.015372307,0.01097973,0.010212121,0.015296427,0.011546053,0.008053071,0.006506181,0.009608541,0.00641461,0.008373953,0.003376897,0.002424242,0.011030516,0.004998884,0.005642202,0.00553522,0.006999667,0.009114008,0.26037349
,0,0.004117042,0.004523092,0,0.000894382,0,0,0.000948767,0,0,0.004350813,0,0.000839631,0,0.000691911,0.002446571,0.001597333,0.002138634,0.006455732,0.005272544,0.003916084,0.005753226,0.002200852,0.006364187,0.004056225,0.008410853,0.01030303,0.006074029,0.00693815,0.014127907,0.013457912,0.011824324,0.009212121,0.010062619,0.012894737,0.009274233,0.006574667,0.013701068,0.007622066,0.006999125,0.006929217,0.003809524,0.006223443,0.003436733,0.011376147,0.004017498,0.007571068,0.008064516,0.255472012
,0.001419538,0,0.000872877,0.001803574,0,0,0.000859711,0,0,0.002676955,0.000839631,0,0,0,0.000691911,0.000791538,0.003194666,0.000691911,0,0.003489184,0.000769231,0.001899123,0.002200852,0.005325136,0.005381526,0.005736434,0.005606061,0.003792074,0.014907648,0.011918605,0.010886336,0.012423714,0.005060606,0.006293031,0.00625,0.010660418,0.007670445,0.009252669,0.007508867,0.004707745,0.002982195,0.004891775,0.00145929,0.003481366,0.009266055,0.00553522,0.002142755,0.00370084,0.18904151
,0.003613369,0,0,0,0.000894382,0,0,0.000948767,0,0,0,0,0.000839631,0,0.001320921,0.000791538,0.001597333,0,0.000780363,0.007055904,0.002307692,0.000614422,0.005358595,0.007792883,0.003654618,0.005155039,0.00469697,0.004194772,0.012032378,0.012238372,0.008514772,0.0095085,0.008,0.009377239,0.007796053,0.007888049,0.007601959,0.008825623,0.006754207,0.001916427,0.005964389,0.003376623,0.001974334,0.002053113,0.006559633,0.005981609,0.002142755,0.002485639,0.182608873
,0.000709769,0,0.001666402,0.000901787,0.000894382,0,0,0.000948767,0,0,0,0,0,0.000774702,0.002704743,0,0,0,0,0.00178336,0.000769231,0.003854103,0.003301277,0.004372673,0.002730924,0.003449612,0.006818182,0.003825632,0.00746945,0.008837209,0.006057489,0.005830427,0.006151515,0.006230724,0.004736842,0.003993531,0.004896757,0.01,0.004188363,0.00458276,0.002982195,0.004285714,0.002446457,0.005043517,0.006238532,0.000937416,0.001618971,0.001270437,0.137303854
,0.000709769,0,0,0.000901787,0.000894382,0,0.000859711,0.000948767,0,0,0,0,0,0.00450736,0.001320921,0,0,0,0.001631669,0,0.002377622,0.001284701,0.002200852,0.002424452,0.003172691,0.006085271,0.003901515,0.003758515,0.00565678,0.007209302,0.006086062,0.007356146,0.006757576,0.006822642,0.005526316,0.003696492,0.007773174,0.005551601,0.002490378,0.002374703,0.003420753,0.001471861,0.005322117,0.004998884,0.003165138,0.001919471,0.002714156,0.002485639,0.129779177
,0.000709769,0,0,0.000901787,0.000894382,0,0.002657288,0.000948767,0,0,0,0,0,0,0,0,0,0,0,0,0.000769231,0.001899123,0.002727142,0.002424452,0.002690763,0.003914729,0.002992424,0.003355817,0.003937869,0.007819767,0.0062575,0.004931343,0.003757576,0.003769588,0.002565789,0.002211294,0.00448584,0.003558719,0.0037733,0.000916552,0.000964828,0,0.0029615,0.002410176,0.00412844,0.001919471,0.00266654,0.001159965,0.091081733
,0,0,0.000872877,0.000901787,0,0,0.000859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001608392,0.002513545,0.002631453,0.004415967,0.002248996,0.003527132,0.002954545,0.002684654,0.006281839,0.004622093,0.004657409,0.005857672,0.003242424,0.003520359,0.003651316,0.00217829,0.003732493,0.000782918,0.002075315,0,0.001008683,0,0.000987167,0.003035037,0.002614679,0,0.001095186,0.000607601,0.07516954
,0,0,0,0,0,0,0.000859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614422,0.000526291,0.004329379,0.002248996,0.002209302,0.002575758,0.002281956,0.003906616,0.003662791,0.002885879,0.004631648,0.001666667,0.001401913,0.002236842,0.003201426,0.002294285,0.001921708,0.001735718,0,0.000964828,0.001385281,0,0.003570632,0.001559633,0.001026694,0,0,0.053698374
,0.000709769,0,0,0,0,0.000791538,0.000859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002727142,0.003376916,0.002208835,0.002170543,0.00125,0.0018457,0.002375223,0.002645349,0.003228756,0.001825414,0.001030303,0.00034269,0.001480263,0.002838378,0.001095778,0.001530249,0,0.000458276,0.001447241,0.000909091,0.000472123,0.000981924,0.000504587,0,0,0,0.039105798
,0,0,0,0,0,0.001655033,0.000859711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001626716,0.002467746,0.000923695,0,0.001287879,0,0.00234397,0.001656977,0.000971484,0.001552964,0.00169697,0.001682295,0.002171053,0.002937391,0.000753347,0,0.000415063,0.000958214,0,0.000909091,0,0.002544075,0.000504587,0,0,0,0.029918261
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614422,0.001626716,0.000476232,0.000441767,0.003410853,0.000416667,0.0018457,0.003062787,0,0.000628607,0.000299695,0.000666667,0,0.001085526,0.002211294,0.000719104,0.001637011,0,0,0.000964828,0,0,0.00200848,0.001055046,0,0.000523785,0.000607601,0.024302786
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769231,0,0,0.000476232,0.000441767,0.001317829,0,0.001543676,0.003719099,0.00127907,0.000942911,0.001253269,0,0,0.000361842,0.001485198,0.001130021,0.000391459,0.000867859,0.000458276,0,0.00047619,0,0,0.000504587,0,0,0,0.017418516
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614422,0,0,0,0.000852713,0.001287879,0.000771838,0.000343782,0.000639535,0.000314304,0.001498474,0.000666667,0,0.000690789,0.001815241,0.001164264,0,0.000415063,0,0.000482414,0,0,0.000490962,0.000504587,0,0,0.000607601,0.013160535
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614422,0,0.000476232,0.000923695,0.000426357,0.000795455,0,0,0.000319767,0,0,0.000333333,0.00034269,0.002203947,0,0.001472451,0,0,0,0,0,0,0.000490962,0,0,0,0,0.008399311
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769231,0.000614422,0,0,0,0,0.000871212,0.00036914,0,0.000319767,0,0.000299695,0.000666667,0.002398829,0.001118421,0,0,0.000391459,0,0.000458276,0.000482414,0,0,0,0,0,0,0,0.008759533
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769231,0.000614422,0,0,0.000923695,0.000426357,0,0.00036914,0.000343782,0,0,0,0.000333333,0.000654226,0.000723684,0.000363048,0,0.000391459,0.000415063,0,0,0.00047619,0,0,0,0,0,0,0.006803631
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441767,0.000426357,0,0.00036914,0.000343782,0,0,0,0,0.00034269,0.000361842,0.000759101,0,0,0,0,0,0,0,0,0,0,0,0,0.003044679
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343782,0,0,0,0.000333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677116
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343782,0,0.000314304,0.000626635,0,0,0,0,0,0,0,0,0,0.000995671,0,0,0,0,0,0,0.002280392
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
